C  3 0977.00A
N  3 0991.00A
H  1 1025.72A
BLND 1035.00A
INCI 1215.00A
H  1 1215.67A
BLND 1240.00A
BLND 1397.00A
BLND 1402.00A
BLND 1406.00A
BLND 1486.00A
BLND 1549.00A
He 2 1640.43A
BLND 1750.00A
BLND 1860.00A
BLND 1909.00A
C  3 2296.90A
O  3 2320.95A
BLND 2471.00A
BLND 2326.00A
BLND 2335.00A
BLND 2665.00A
BLND 2798.00A
Ne 5 3426.03A
BaC  3646.00A
O  2 3726.03A
BLND 3727.00A
O  2 3728.81A
Ne 3 3868.76A
He 1 3888.63A
Ca 2 3933.66A
S  2 4068.60A
BLND 4074.00A
S  2 4076.35A
H  1 4101.73A
H  1 4340.46A
BLND 4363.00A
He 2 4685.64A
Ca B 4685.64A
Ne 4 4724.17A
Ar 4 4740.12A
INCI 4860.00A
H  1 4861.33A
O  3 4958.91A
O  3 5006.84A
N  1 5200.26A
Fe14 5303.01A
O  1 5577.34A
N  2 5754.61A
He 1 5875.64A
BLND 6300.00A
O  1 6363.78A
H  1 6562.81A
N  2 6583.45A
S  2 6716.44A
BLND 6720.00A
S  2 6730.82A
Ar 5 7005.83A
Ar 3 7135.79A
BLND 7325.00A
Ar 4 7332.15A
Ar 3 7751.11A
BLND 8446.00A
Ca 2 8498.02A
Ca 2 8542.09A
Ca 2 8662.14A
S  3 9068.62A
S  3 9530.62A
H  1 9545.93A
He 1 1.08303m
H  1 1.87510m
H  1 1.28180m
H  1 1.09380m
H  1 1.00493m
H  1 4.05113m
H  1 2.62513m
H  1 2.16551m 
H  1 1.94454m
C  2 157.636m
N  2 121.767m
N  2 205.244m
N  3 57.3238m
O  1 63.1679m
O  1 145.495m
O  3 51.8004m
O  3 88.3323m
O  4 25.8832m
Ne 2 12.8101m
Ne 3 15.5509m
Ne 3 36.0036m
Ne 5 14.3228m
Ne 5 24.2065m
Ne 6 7.64318m
Na 3 7.31706m
Na 4 9.03098m
Na 4 21.3162m
Na 6 14.3228m
Na 6 8.61836m
Mg 4 4.48712m
Mg 5 5.60700m
Mg 5 13.5464m
Mg 7 5.50177m
Mg 7 9.00655m
Mg 8 3.02765m
Al 5 2.90450m
Al 6 3.65932m
Al 6 9.11329m
Al 8 5.82933m
Al 8 3.69722m
Si 2 34.8046m
Si 6 1.96247m
Si 7 2.48071m
Si 7 6.51288m
Si 9 3.92820m
Si 9 2.58394m
Si10 1.43008m
S  3 18.7078m
S  3 33.4704m
S  4 10.5076m
S  8 9914.00A
S  9 1.25201m
S  9 3.75414m
S 11 1.91960m
S 11 1.39238m
Ar 2 6.98337m
Ar 3 8.98898m
Ar 3 21.8253m
Ar 5 7.89971m
Ar 5 13.0985m
Ar 6 4.52800m
Ar10 5534.02A
Ar11 2.59535m
Ca 4 3.20610m
Ca 5 4.15739m
Ca 5 11.4792m
Ca 8 2.32117m
Sc 5 2.31119m
Ti 6 1.71509m
V  7 1.30376m
Cr 8 1.01065m
Mn 9 7968.49A
Ni12 4230.90A
O  3 1660.81A
O  3 1666.15A
O  5 1218.34A
Si 3 1892.03A
